WS10M_lag1,RH,MIN_TEMP,PREC,WD_sin,SURF_PRESSURE_DIFF,AVG_TEMP,WD_cos,RH_lag1,MONOSOON_SEASON_Southwest_Monsoon,MAX_TEMP,SL_PRESSURE_lag1,CLOUD_COVER,WS10M,XGB_fnn_random
2.85,80.14,25.79,2.44,-0.8338858221,0.0700000000000073,30.2,-0.5519369853,80.53,0,30.7,1007.2,4.0,2.31,2.4323546866915873
2.31,80.37,26.05,9.12,-0.6360782203,0.0899999999999892,29.3,-0.7716245834,80.14,0,30.9,1007.5,5.0,2.02,2.2295201843051164
2.02,87.92,25.68,15.75,-0.875464527,0.0400000000000062,28.1,-0.4832823833,80.37,0,27.64,1008.2,6.0,3.39,3.0958925394484975
3.39,83.34,25.53,4.83,-0.9499720515,-0.0400000000000062,28.6,-0.3123349185,87.92,0,29.03,1008.9,3.0,2.43,2.627512893815961
2.43,78.06,25.78,5.4,-0.8925858185,-0.0099999999999909,29.1,0.4508775407,83.34,0,30.91,1008.2,2.0,1.72,1.8727301070099067
1.72,87.18,25.09,31.44,-0.9957246982,0.1499999999999914,29.4,-0.09237058745,78.06,0,28.04,1007.1,7.0,3.12,2.9285869091985566
3.12,73.63,24.74,7.26,-0.8720692724,0.0200000000000102,28.8,-0.4893824517,87.18,0,30.34,1009.8,5.0,2.14,1.8787941300921671
2.14,87.07,25.72,20.54,-0.956304756,-0.0900000000000034,28.7,-0.2923717047,73.63,0,28.83,1009.7,7.0,3.65,2.923748356179929
3.65,86.4,26.46,10.18,-0.9874138068,-0.1099999999999994,28.1,-0.1581580673,87.07,0,28.83,1009.4,4.0,4.05,3.8848086241453923
4.05,83.29,26.06,1.16,-0.9372819895,-0.1000000000000085,29.4,-0.3485720473,86.4,0,29.95,1008.0,4.0,3.9,3.928463761602692
3.9,82.65,26.0,0.59,-0.9191353393,0.0400000000000062,29.6,-0.3939419096,83.29,0,30.1,1007.0,3.0,3.76,3.6582848607460265
3.76,81.29,25.86,0.21,-0.9690157314,-0.019999999999996,30.5,-0.2469990127,82.65,0,30.48,1007.2,4.0,3.24,3.2612871833725183
3.24,83.82,25.36,0.39,-0.8796485729,0.039999999999992,30.3,-0.4756242091,81.29,0,29.8,1007.2,4.0,3.49,3.504179827369302
3.49,80.28,25.06,0.29,-0.7880107536,0.0100000000000051,29.5,-0.6156614753,83.82,0,30.3,1007.7,4.0,2.93,2.940214666178161
2.93,80.38,25.15,5.74,-0.6073758397,0.0699999999999931,29.4,-0.7944146205,80.28,0,30.28,1007.6,3.0,3.16,2.563460067715102
3.16,80.08,25.66,4.38,-0.8329212407,0.1300000000000096,29.4,-0.5533915492,80.38,0,30.27,1008.5,5.0,2.25,2.647070369567631
2.25,81.77,26.01,8.3,-0.994150964,0.039999999999992,29.2,-0.1079993557,80.08,0,30.05,1009.9,5.0,2.07,2.242354111703712
